,mu_mean,mu_std,sigma_scale,num_sample,burn_in,chain,MAE,RMSE,Coverage Probability
1,0.001,0.01,0.05,2000,1000,6,3.1710030204149255,3.6727679004230356,0.3811188811188811
0,0.001,0.01,0.01,2000,1000,6,3.2029955190975703,3.7045507052185394,0.40034965034965037
17,0.01,0.01,0.05,2000,1000,6,3.213998987788566,3.7185060274736714,0.45454545454545453
1,0.001,0.01,0.05,2000,1000,6,3.1710030204149255,3.6727679004230356,0.3811188811188811
0,0.001,0.01,0.01,2000,1000,6,3.2029955190975703,3.7045507052185394,0.40034965034965037
17,0.01,0.01,0.05,2000,1000,6,3.213998987788566,3.7185060274736714,0.45454545454545453
