,strategy,params,start_date,end_date,final_portfolio_value,total_trades,winning_trades,losing_trades,average_return,sharpe_ratio
18,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-05-06 14:30:00-04:00,2024-07-12 10:45:00-04:00,1007902.6899999998,86,50,36,0.002763458463374944,1.2466239601721159
19,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-05-06 14:30:00-04:00,2024-07-12 10:45:00-04:00,1015881.1299999998,82,47,35,0.0029815637486118,1.1499016383855993
20,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-05-06 14:30:00-04:00,2024-07-12 10:45:00-04:00,1013475.8199999993,81,46,35,0.003149222115888221,1.329858299841302
21,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-11-14 11:15:00-05:00,2024-01-22 14:00:00-05:00,1005150.4500000002,82,45,37,0.0002135938579900226,0.960624009824519
22,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-11-14 11:15:00-05:00,2024-01-22 14:00:00-05:00,996787.1099999984,79,45,34,0.00027247902382397307,0.16463020006635506
23,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-11-14 11:15:00-05:00,2024-01-22 14:00:00-05:00,993360.8400000004,73,38,35,-0.0007992228020140989,-0.6279380715070926
24,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-05-15 13:45:00-04:00,2023-07-21 10:00:00-04:00,998866.309999999,78,43,35,-0.0002878937115126585,0.36713157038535615
25,Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-05-15 13:45:00-04:00,2023-07-21 10:00:00-04:00,996216.0699999993,73,41,32,0.0003261841959771231,0.801945735138339
26,Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2023-05-15 13:45:00-04:00,2023-07-21 10:00:00-04:00,1001530.0899999986,73,43,30,0.001507304570091353,2.8339974925996834
27,Geometric_Brownian_Motion,"{'threshold': 1, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",2024-01-19 14:15:00-05:00,2024-03-25 14:00:00-04:00,991138.5300000007,74,36,38,-0.0012883672776300191,-1.4604705290070512
