,date,open,high,low,close,volume,average,barCount
0,2024-10-10 09:30:00-04:00,137.93,138.68,137.93,138.68,12869.0,138.072,17
1,2024-10-10 09:45:00-04:00,138.86,139.07,138.46,138.46,2433.0,138.81,22
2,2024-10-10 10:00:00-04:00,138.52,138.64,138.04,138.04,5842.0,138.514,28
3,2024-10-10 10:15:00-04:00,137.94,138.06,137.87,137.88,2192.0,137.968,18
4,2024-10-10 10:30:00-04:00,137.95,138.36,137.95,138.21,5952.0,138.116,42
5,2024-10-10 10:45:00-04:00,138.13,138.17,137.95,138.05,2626.0,138.112,16
6,2024-10-10 11:00:00-04:00,137.97,138.24,137.97,138.24,1171.0,138.112,9
7,2024-10-10 11:15:00-04:00,138.25,138.25,137.99,137.99,2053.0,138.125,10
8,2024-10-10 11:30:00-04:00,137.9,138.15,137.9,138.14,3267.0,138.02,25
9,2024-10-10 11:45:00-04:00,138.05,138.11,137.76,137.82,6472.0,137.952,53
10,2024-10-10 12:00:00-04:00,137.89,138.08,137.83,138.08,1713.0,137.908,12
11,2024-10-10 12:15:00-04:00,138.2,138.31,138.15,138.31,3324.0,138.23,23
12,2024-10-10 12:30:00-04:00,138.39,138.52,138.03,138.03,16144.0,138.42,92
13,2024-10-10 12:45:00-04:00,138.15,138.15,137.88,137.88,3031.0,137.961,24
14,2024-10-10 13:00:00-04:00,137.8,137.93,137.73,137.93,5080.0,137.848,46
15,2024-10-10 13:15:00-04:00,137.99,138.32,137.99,138.32,13248.0,138.214,112
16,2024-10-10 13:30:00-04:00,138.32,138.4,138.26,138.36,7775.0,138.312,69
17,2024-10-10 13:45:00-04:00,138.3,138.3,138.18,138.29,2276.0,138.27,20
18,2024-10-10 14:00:00-04:00,138.21,138.25,138.17,138.17,3084.0,138.208,18
19,2024-10-10 14:15:00-04:00,138.22,138.46,138.22,138.36,5560.0,138.329,43
20,2024-10-10 14:30:00-04:00,138.34,138.37,138.27,138.36,7391.0,138.313,60
21,2024-10-10 14:45:00-04:00,138.31,138.38,138.17,138.21,10826.0,138.267,84
22,2024-10-10 15:00:00-04:00,138.24,138.36,138.18,138.34,9323.0,138.28,78
